Start training...

Epoch 001 | Time   252s | Train Loss 3.3015 | Val Loss 7.262 | Val Acc 19.00

Epoch 002 | Time   501s | Train Loss 2.6966 | Val Loss 5.924 | Val Acc 31.80

Epoch 003 | Time   754s | Train Loss 2.3759 | Val Loss 4.874 | Val Acc 42.70

Epoch 004 | Time  1006s | Train Loss 2.2060 | Val Loss 5.077 | Val Acc 39.10

Epoch 005 | Time  1256s | Train Loss 2.1101 | Val Loss 4.065 | Val Acc 48.40

Epoch 006 | Time  1507s | Train Loss 2.0083 | Val Loss 4.247 | Val Acc 49.40

Epoch 007 | Time  1757s | Train Loss 1.9771 | Val Loss 3.802 | Val Acc 52.90

Epoch 008 | Time  2008s | Train Loss 1.9845 | Val Loss 4.691 | Val Acc 46.30

Epoch 009 | Time  2262s | Train Loss 1.9150 | Val Loss 3.987 | Val Acc 51.20

Epoch 010 | Time  2527s | Train Loss 1.9025 | Val Loss 3.928 | Val Acc 52.20

Epoch 011 | Time  2777s | Train Loss 1.8777 | Val Loss 3.870 | Val Acc 52.70

Epoch 012 | Time  3032s | Train Loss 1.8680 | Val Loss 4.386 | Val Acc 48.70

Epoch 013 | Time  3283s | Train Loss 1.7619 | Val Loss 3.944 | Val Acc 53.00

Epoch 014 | Time  3532s | Train Loss 1.8078 | Val Loss 4.238 | Val Acc 49.00

Epoch 015 | Time  3786s | Train Loss 1.7712 | Val Loss 4.034 | Val Acc 53.70

Epoch 016 | Time  4035s | Train Loss 1.7369 | Val Loss 3.887 | Val Acc 52.90

Epoch 017 | Time  4288s | Train Loss 1.7133 | Val Loss 3.612 | Val Acc 56.10

Epoch 018 | Time  4536s | Train Loss 1.7269 | Val Loss 3.686 | Val Acc 55.70

Epoch 019 | Time  4789s | Train Loss 1.7335 | Val Loss 3.490 | Val Acc 57.10

Epoch 020 | Time  5045s | Train Loss 1.7038 | Val Loss 3.267 | Val Acc 59.70

Epoch 021 | Time  5302s | Train Loss 1.7476 | Val Loss 3.926 | Val Acc 52.20

Epoch 022 | Time  5552s | Train Loss 1.7246 | Val Loss 3.443 | Val Acc 58.70

Epoch 023 | Time  5806s | Train Loss 1.6829 | Val Loss 3.407 | Val Acc 58.60

Epoch 024 | Time  6072s | Train Loss 1.6546 | Val Loss 3.215 | Val Acc 61.40

Epoch 025 | Time  6322s | Train Loss 1.6271 | Val Loss 3.471 | Val Acc 56.40

Epoch 026 | Time  6574s | Train Loss 1.5857 | Val Loss 3.364 | Val Acc 58.70

Epoch 027 | Time  6823s | Train Loss 1.6940 | Val Loss 3.119 | Val Acc 62.40

Epoch 028 | Time  7075s | Train Loss 1.6623 | Val Loss 3.196 | Val Acc 59.70

Epoch 029 | Time  7329s | Train Loss 1.6376 | Val Loss 3.477 | Val Acc 57.70

Epoch 030 | Time  7582s | Train Loss 1.6233 | Val Loss 3.666 | Val Acc 56.50

Epoch 031 | Time  7830s | Train Loss 1.5946 | Val Loss 3.293 | Val Acc 57.90

